iter	Passed	Remaining
0	158	158531
1	174	87171
2	190	63292
3	206	51378
4	222	44311
5	240	39763
6	256	36315
7	273	33871
8	301	33167
9	318	31551
10	335	30145
11	351	28952
12	367	27916
13	383	27028
14	396	26064
15	417	25701
16	431	24963
17	445	24286
18	460	23801
19	476	23372
20	495	23122
21	513	22839
22	539	22937
23	557	22687
24	574	22395
25	589	22096
26	605	21828
27	621	21573
28	636	21308
29	651	21060
30	666	20835
31	678	20526
32	694	20351
33	710	20198
34	726	20027
35	743	19915
36	759	19776
37	784	19859
38	827	20380
39	850	20413
40	868	20324
41	886	20214
42	907	20193
43	923	20066
44	936	19878
45	950	19706
46	964	19556
47	976	19370
48	991	19236
49	1004	19084
50	1017	18939
51	1031	18800
52	1043	18644
53	1057	18523
54	1070	18396
55	1084	18277
56	1098	18167
57	1110	18033
58	1123	17918
59	1137	17813
60	1150	17703
61	1163	17603
62	1176	17493
63	1191	17429
64	1206	17349
65	1220	17266
66	1233	17174
67	1246	17088
68	1259	16988
69	1272	16911
70	1285	16820
71	1299	16743
72	1313	16673
73	1324	16579
74	1338	16502
75	1351	16429
76	1367	16392
77	1381	16325
78	1394	16258
79	1406	16176
80	1420	16113
81	1433	16049
82	1448	16000
83	1463	15957
84	1480	15937
85	1496	15903
86	1510	15853
87	1525	15812
88	1539	15756
89	1556	15739
90	1576	15752
91	1595	15745
92	1616	15761
93	1637	15778
94	1670	15911
95	1693	15951
96	1709	15909
97	1721	15840
98	1735	15792
99	1751	15760
100	1767	15736
101	1783	15704
102	1798	15666
103	1815	15637
104	1829	15591
105	1844	15560
106	1860	15530
107	1876	15497
108	1892	15471
109	1904	15408
110	1920	15378
111	1935	15344
112	1951	15315
113	1965	15274
114	1978	15228
115	1992	15181
116	2007	15151
117	2030	15178
118	2050	15177
119	2065	15145
120	2081	15120
121	2097	15094
122	2119	15111
123	2142	15133
124	2157	15105
125	2173	15078
126	2190	15056
127	2209	15049
128	2225	15023
129	2240	14994
130	2252	14945
131	2270	14927
132	2285	14900
133	2302	14877
134	2319	14859
135	2333	14824
136	2346	14782
