iter	Passed	Remaining
0	15	15888
1	30	15231
2	45	15136
3	60	15013
4	75	15113
5	90	14984
6	105	14993
7	118	14686
8	131	14526
9	147	14609
10	161	14558
11	175	14469
12	189	14356
13	203	14316
14	217	14263
15	230	14185
16	244	14159
17	260	14206
18	274	14160
19	287	14110
20	301	14039
21	315	14036
22	329	14013
23	343	13973
24	357	13941
25	371	13908
26	385	13898
27	399	13866
28	413	13832
29	426	13797
30	440	13771
31	454	13745
32	468	13725
33	481	13680
34	495	13660
35	508	13621
36	522	13592
37	536	13572
38	549	13530
39	561	13487
40	575	13459
41	587	13402
42	599	13349
43	614	13343
44	628	13341
45	643	13337
46	657	13329
47	671	13317
48	685	13301
49	698	13271
50	711	13243
51	725	13221
52	738	13193
53	751	13159
54	764	13135
55	778	13125
56	793	13131
57	807	13109
58	821	13098
59	833	13057
60	847	13038
61	864	13076
62	877	13056
63	891	13037
64	903	13000
65	916	12973
66	928	12929
67	941	12908
68	955	12893
69	968	12865
70	981	12838
71	994	12820
72	1007	12796
73	1021	12779
74	1034	12758
75	1047	12740
76	1060	12712
77	1073	12687
78	1086	12670
79	1099	12649
80	1113	12633
81	1127	12618
82	1138	12583
83	1152	12563
84	1165	12542
85	1178	12523
86	1192	12513
87	1204	12487
88	1217	12463
89	1230	12439
90	1242	12415
91	1255	12389
92	1268	12373
93	1282	12362
94	1296	12353
95	1310	12344
96	1324	12331
97	1338	12323
98	1352	12312
99	1366	12300
100	1380	12284
101	1393	12271
102	1406	12253
103	1420	12242
104	1434	12231
105	1448	12213
106	1462	12202
107	1475	12190
108	1489	12178
109	1503	12161
110	1516	12145
111	1530	12136
112	1544	12125
113	1559	12116
114	1573	12111
115	1588	12105
116	1603	12098
117	1616	12084
118	1629	12065
119	1643	12053
120	1657	12039
121	1670	12021
122	1685	12015
123	1698	12000
124	1713	11992
125	1726	11978
126	1740	11965
127	1755	11957
128	1769	11948
129	1784	11944
130	1799	11935
131	1813	11928
132	1828	11917
133	1843	11911
134	1857	11899
135	1871	11889
136	1884	11868
137	1898	11860
138	1913	11854
139	1928	11847
140	1942	11832
141	1956	11824
142	1972	11820
143	1986	11811
144	2000	11794
145	2016	11796
146	2032	11796
147	2047	11788
148	2063	11782
149	2078	11778
150	2094	11773
151	2109	11767
152	2123	11755
153	2138	11747
154	2152	11734
155	2165	11717
156	2181	11714
157	2196	11704
158	2210	11690
159	2224	11676
160	2238	11666
161	2253	11656
162	2268	11647
163	2283	11639
164	2298	11633
165	2313	11623
166	2326	11604
167	2340	11593
168	2355	11582
169	2371	11579
170	2387	11573
171	2402	11563
172	2417	11558
173	2432	11546
174	2448	11542
175	2461	11525
176	2476	11513
177	2489	11494
178	2503	11481
179	2517	11470
180	2531	11453
181	2544	11436
182	2558	11421
183	2573	11412
184	2587	11400
185	2602	11389
186	2614	11368
187	2628	11350
188	2643	11342
189	2656	11326
190	2672	11318
191	2687	11308
192	2703	11302
193	2715	11282
194	2729	11269
195	2743	11251
196	2756	11236
197	2771	11227
198	2785	11211
199	2799	11198
200	2813	11185
201	2828	11172
202	2842	11160
203	2856	11145
204	2870	11133
205	2884	11118
206	2898	11103
207	2913	11091
208	2926	11077
209	2940	11063
210	2954	11048
211	2969	11037
212	2983	11024
213	2998	11013
214	3012	10999
215	3027	10987
216	3042	10976
217	3055	10961
218	3069	10947
219	3083	10932
220	3097	10919
221	3112	10906
222	3126	10892
223	3138	10871
224	3152	10857
225	3166	10845
226	3181	10832
227	3195	10820
228	3209	10805
229	3223	10790
230	3237	10777
231	3251	10765
232	3267	10756
233	3282	10743
234	3299	10742
235	3313	10728
236	3331	10724
237	3347	10717
238	3362	10706
239	3376	10692
240	3391	10682
241	3405	10667
242	3419	10651
243	3433	10637
244	3447	10623
245	3461	10609
246	3475	10595
247	3490	10585
248	3504	10569
249	3517	10553
250	3532	10541
251	3547	10528
252	3560	10513
253	3575	10500
254	3588	10485
255	3602	10470
256	3616	10454
257	3630	10440
258	3643	10424
259	3656	10405
260	3669	10389
261	3682	10373
262	3694	10352
263	3707	10336
264	3721	10320
265	3734	10304
266	3747	10288
267	3760	10271
268	3774	10257
269	3788	10241
270	3801	10226
271	3815	10211
272	3828	10194
273	3841	10178
274	3854	10162
275	3868	10147
276	3880	10129
277	3894	10114
278	3908	10101
279	3922	10086
280	3938	10077
281	3952	10064
282	3966	10050
283	3980	10035
284	3994	10020
285	4007	10003
286	4020	9988
287	4033	9972
288	4046	9955
289	4060	9940
290	4073	9924
291	4087	9911
292	4099	9891
293	4111	9873
294	4124	9857
295	4137	9841
296	4151	9826
297	4162	9806
298	4176	9791
299	4189	9776
300	4203	9760
301	4217	9746
302	4230	9730
303	4244	9717
304	4258	9704
305	4272	9690
306	4285	9674
307	4300	9662
308	4321	9662
309	4335	9649
310	4348	9633
311	4362	9619
312	4376	9606
313	4390	9592
314	4404	9577
315	4418	9563
316	4431	9549
317	4445	9533
318	4459	9519
319	4473	9506
320	4486	9490
321	4500	9475
322	4513	9460
323	4526	9444
324	4540	9430
325	4555	9417
326	4570	9406
327	4585	9394
328	4599	9381
329	4613	9366
330	4625	9349
331	4640	9335
332	4654	9322
333	4669	9310
334	4684	9298
335	4698	9284
336	4713	9273
337	4728	9261
338	4742	9246
339	4754	9229
340	4767	9213
341	4781	9200
342	4796	9186
343	4809	9172
344	4823	9157
345	4836	9142
346	4851	9128
347	4864	9114
348	4879	9101
349	4894	9090
350	4909	9077
351	4923	9063
352	4936	9048
353	4950	9034
354	4964	9020
355	4980	9010
356	4995	8996
357	5009	8983
358	5022	8967
359	5036	8953
360	5049	8937
361	5062	8922
362	5076	8907
363	5089	8892
364	5103	8879
365	5118	8866
366	5131	8851
367	5145	8836
368	5158	8821
369	5171	8805
370	5185	8791
371	5198	8775
372	5212	8761
373	5225	8746
374	5239	8732
375	5252	8717
376	5265	8701
377	5278	8686
378	5292	8671
379	5306	8657
380	5319	8642
381	5332	8627
382	5345	8612
383	5359	8597
384	5373	8583
385	5385	8567
386	5399	8552
387	5412	8537
388	5426	8523
389	5439	8508
390	5452	8492
391	5465	8477
392	5478	8462
393	5492	8448
394	5506	8434
395	5519	8418
396	5532	8403
397	5545	8387
398	5559	8373
399	5573	8359
400	5588	8347
401	5602	8333
402	5615	8318
403	5629	8304
404	5643	8291
405	5656	8276
406	5670	8261
407	5684	8247
408	5695	8230
409	5708	8215
410	5721	8198
411	5734	8184
412	5747	8168
413	5760	8153
414	5773	8138
415	5785	8122
416	5798	8107
417	5811	8091
418	5824	8076
419	5837	8061
420	5850	8046
421	5863	8030
422	5876	8016
423	5891	8003
424	5903	7987
425	5916	7971
426	5929	7956
427	5942	7941
428	5954	7925
429	5967	7909
430	5980	7895
431	5994	7881
432	6007	7866
433	6020	7851
434	6033	7836
435	6045	7820
436	6060	7808
437	6072	7791
438	6085	7777
439	6099	7763
440	6111	7747
441	6125	7732
442	6138	7717
443	6151	7703
444	6164	7687
445	6176	7672
446	6190	7658
447	6202	7642
448	6216	7628
449	6229	7614
450	6242	7598
451	6254	7583
452	6269	7570
453	6283	7557
454	6297	7543
455	6312	7530
456	6326	7516
457	6340	7503
458	6356	7492
459	6371	7479
460	6386	7467
461	6401	7454
462	6415	7441
463	6430	7428
464	6446	7416
465	6461	7404
466	6475	7390
467	6491	7378
468	6506	7366
469	6521	7354
470	6534	7339
471	6548	7325
472	6563	7312
473	6576	7298
474	6589	7283
475	6602	7268
476	6616	7254
477	6630	7240
478	6643	7226
479	6656	7211
480	6669	7196
481	6683	7182
